OSI,Points:0,Points:1,Points:2
0.000443217,0.0512213,-1.09959e-17,0.0017
0.000449084,0.0512213,0.00019034,0.00168931
0.000460465,0.0512213,0.000378286,0.00165738
0.00046995,0.0512213,0.000561475,0.0016046
0.000476497,0.0512213,0.000737603,0.00153165
0.000480573,0.0512213,0.000904455,0.00143943
0.000482763,0.0512213,0.00105993,0.00132911
0.000483451,0.0512213,0.00120208,0.00120208
0.000482765,0.0512213,0.00132911,0.00105993
0.000480577,0.0512213,0.00143943,0.000904455
0.000476503,0.0512213,0.00153165,0.000737603
0.000469956,0.0512213,0.0016046,0.000561475
0.000460475,0.0512213,0.00165738,0.000378286
0.000449095,0.0512213,0.00168931,0.00019034
0.000443228,0.0512213,0.0017,-3.77476e-19
0.000443205,0.0512213,-0.0017,3.77476e-19
0.000449071,0.0512213,-0.00168931,0.00019034
0.000460452,0.0512213,-0.00165738,0.000378286
0.000469934,0.0512213,-0.0016046,0.000561475
0.000476481,0.0512213,-0.00153165,0.000737603
0.000480558,0.0512213,-0.00143943,0.000904455
0.000482747,0.0512213,-0.00132911,0.00105993
0.000483434,0.0512213,-0.00120208,0.00120208
0.000482749,0.0512213,-0.00105993,0.00132911
0.000480561,0.0512213,-0.000904455,0.00143943
0.000476487,0.0512213,-0.000737603,0.00153165
0.000469942,0.0512213,-0.000561475,0.0016046
0.000460461,0.0512213,-0.000378286,0.00165738
0.000449082,0.0512213,-0.00019034,0.00168931
0.000443217,0.0512213,-1.17509e-17,-0.0017
0.000449082,0.0512213,-0.00019034,-0.00168931
0.000460461,0.0512213,-0.000378286,-0.00165738
0.000469942,0.0512213,-0.000561475,-0.0016046
0.000476487,0.0512213,-0.000737603,-0.00153165
0.000480561,0.0512213,-0.000904455,-0.00143943
0.000482749,0.0512213,-0.00105993,-0.00132911
0.000483434,0.0512213,-0.00120208,-0.00120208
0.000482747,0.0512213,-0.00132911,-0.00105993
0.000480558,0.0512213,-0.00143943,-0.000904455
0.000476481,0.0512213,-0.00153165,-0.000737603
0.000469934,0.0512213,-0.0016046,-0.000561475
0.000460452,0.0512213,-0.00165738,-0.000378286
0.000449071,0.0512213,-0.00168931,-0.00019034
0.000449095,0.0512213,0.00168931,-0.00019034
0.000460475,0.0512213,0.00165738,-0.000378286
