OSI,Points:0,Points:1,Points:2
0.000429358,0.0512213,-1.09959e-17,0.0017
0.000438299,0.0512213,0.000265939,0.00167907
0.000453754,0.0512213,0.000525329,0.0016168
0.000463734,0.0512213,0.000771784,0.00151471
0.000468657,0.0512213,0.000999235,0.00137533
0.000470103,0.0512213,0.00120208,0.00120208
0.000468659,0.0512213,0.00137533,0.000999235
0.000463738,0.0512213,0.00151471,0.000771784
0.000453759,0.0512213,0.0016168,0.000525329
0.000438306,0.0512213,0.00167907,0.000265939
0.000429367,0.0512213,0.0017,-3.77476e-19
0.00042935,0.0512213,-0.0017,3.77476e-19
0.000438288,0.0512213,-0.00167907,0.000265939
0.000453742,0.0512213,-0.0016168,0.000525329
0.000463722,0.0512213,-0.00151471,0.000771784
0.000468644,0.0512213,-0.00137533,0.000999235
0.00047009,0.0512213,-0.00120208,0.00120208
0.000468646,0.0512213,-0.000999235,0.00137533
0.000463726,0.0512213,-0.000771784,0.00151471
0.000453748,0.0512213,-0.000525329,0.0016168
0.000438296,0.0512213,-0.000265939,0.00167907
0.000429358,0.0512213,-1.17509e-17,-0.0017
0.000438296,0.0512213,-0.000265939,-0.00167907
0.000453748,0.0512213,-0.000525329,-0.0016168
0.000463726,0.0512213,-0.000771784,-0.00151471
0.000468646,0.0512213,-0.000999235,-0.00137533
0.00047009,0.0512213,-0.00120208,-0.00120208
0.000468644,0.0512213,-0.00137533,-0.000999235
0.000463722,0.0512213,-0.00151471,-0.000771784
0.000453742,0.0512213,-0.0016168,-0.000525329
0.000438288,0.0512213,-0.00167907,-0.000265939
0.000438306,0.0512213,0.00167907,-0.000265939
0.000453759,0.0512213,0.0016168,-0.000525329
0.000463738,0.0512213,0.00151471,-0.000771784
0.000468659,0.0512213,0.00137533,-0.000999235
0.000470103,0.0512213,0.00120208,-0.00120208
0.000468657,0.0512213,0.000999235,-0.00137533
0.000463734,0.0512213,0.000771784,-0.00151471
0.000453754,0.0512213,0.000525329,-0.0016168
0.000438299,0.0512213,0.000265939,-0.00167907
0.000429384,0.0516035,-1.10808e-17,0.0017
0.000438326,0.0516035,0.000265939,0.00167907
0.000453782,0.0516035,0.000525329,0.0016168
0.000463762,0.0516035,0.000771784,0.00151471
0.000468686,0.0516035,0.000999235,0.00137533
0.000470132,0.0516035,0.00120208,0.00120208
0.000468689,0.0516035,0.00137533,0.000999235
0.000463768,0.0516035,0.00151471,0.000771784
0.000453789,0.0516035,0.0016168,0.000525329
