OSI,Points:0,Points:1,Points:2
0.000414006,0.0512213,-1.09959e-17,0.0017
0.000421403,0.0512213,0.00019034,0.00168931
0.000435885,0.0512213,0.000378286,0.00165738
0.000448274,0.0512213,0.000561475,0.0016046
0.000457177,0.0512213,0.000737603,0.00153165
0.000462953,0.0512213,0.000904455,0.00143943
0.000466161,0.0512213,0.00105993,0.00132911
0.000467188,0.0512213,0.00120208,0.00120208
0.000466165,0.0512213,0.00132911,0.00105993
0.00046296,0.0512213,0.00143943,0.000904455
0.000457188,0.0512213,0.00153165,0.000737603
0.000448287,0.0512213,0.0016046,0.000561475
0.000435901,0.0512213,0.00165738,0.000378286
0.000421422,0.0512213,0.00168931,0.00019034
0.000414028,0.0512213,0.0017,-3.77476e-19
0.000413983,0.0512213,-0.0017,3.77476e-19
0.000421378,0.0512213,-0.00168931,0.00019034
0.000435858,0.0512213,-0.00165738,0.000378286
0.000448246,0.0512213,-0.0016046,0.000561475
0.000457148,0.0512213,-0.00153165,0.000737603
0.000462922,0.0512213,-0.00143943,0.000904455
0.00046613,0.0512213,-0.00132911,0.00105993
0.000467157,0.0512213,-0.00120208,0.00120208
0.000466134,0.0512213,-0.00105993,0.00132911
0.000462929,0.0512213,-0.000904455,0.00143943
0.000457158,0.0512213,-0.000737603,0.00153165
0.000448259,0.0512213,-0.000561475,0.0016046
0.000435875,0.0512213,-0.000378286,0.00165738
0.000421398,0.0512213,-0.00019034,0.00168931
0.000414006,0.0512213,-1.17509e-17,-0.0017
0.000421398,0.0512213,-0.00019034,-0.00168931
0.000435874,0.0512213,-0.000378286,-0.00165738
0.000448259,0.0512213,-0.000561475,-0.0016046
0.000457158,0.0512213,-0.000737603,-0.00153165
0.000462929,0.0512213,-0.000904455,-0.00143943
0.000466134,0.0512213,-0.00105993,-0.00132911
0.000467157,0.0512213,-0.00120208,-0.00120208
0.00046613,0.0512213,-0.00132911,-0.00105993
0.000462922,0.0512213,-0.00143943,-0.000904455
0.000457148,0.0512213,-0.00153165,-0.000737603
0.000448246,0.0512213,-0.0016046,-0.000561475
0.000435857,0.0512213,-0.00165738,-0.000378286
0.000421378,0.0512213,-0.00168931,-0.00019034
0.000421422,0.0512213,0.00168931,-0.00019034
0.000435901,0.0512213,0.00165738,-0.000378286
0.000448287,0.0512213,0.0016046,-0.000561475
0.000457187,0.0512213,0.00153165,-0.000737603
0.00046296,0.0512213,0.00143943,-0.000904455
0.000466165,0.0512213,0.00132911,-0.00105993
0.000467188,0.0512213,0.00120208,-0.00120208
0.000466162,0.0512213,0.00105993,-0.00132911
0.000462953,0.0512213,0.000904455,-0.00143943
0.000457177,0.0512213,0.000737603,-0.00153165
0.000448274,0.0512213,0.000561475,-0.0016046
0.000435884,0.0512213,0.000378286,-0.00165738
0.000421402,0.0512213,0.00019034,-0.00168931
0.000414031,0.0516035,-1.10808e-17,0.0017
0.000421431,0.0516035,0.00019034,0.00168931
0.000435914,0.0516035,0.000378286,0.00165738
0.000448304,0.0516035,0.000561475,0.0016046
0.000457208,0.0516035,0.000737603,0.00153165
0.000462985,0.0516035,0.000904455,0.00143943
0.000466195,0.0516035,0.00105993,0.00132911
0.000467222,0.0516035,0.00120208,0.00120208
0.000466199,0.0516035,0.00132911,0.00105993
0.000462995,0.0516035,0.00143943,0.000904455
0.000457223,0.0516035,0.00153165,0.000737603
0.000448323,0.0516035,0.0016046,0.000561475
0.000435936,0.0516035,0.00165738,0.000378286
0.000421457,0.0516035,0.00168931,0.00019034
0.000414061,0.0516035,0.0017,-3.77476e-19
0.000414002,0.0516035,-0.0017,3.77476e-19
0.000421397,0.0516035,-0.00168931,0.00019034
0.000435876,0.0516035,-0.00165738,0.000378286
0.000448265,0.0516035,-0.0016046,0.000561475
0.000457168,0.0516035,-0.00153165,0.000737603
0.000462943,0.0516035,-0.00143943,0.000904455
0.000466151,0.0516035,-0.00132911,0.00105993
0.000467178,0.0516035,-0.00120208,0.00120208
0.000466156,0.0516035,-0.00105993,0.00132911
0.000462952,0.0516035,-0.000904455,0.00143943
0.000457181,0.0516035,-0.000737603,0.00153165
0.000448283,0.0516035,-0.000561475,0.0016046
0.0004359,0.0516035,-0.000378286,0.00165738
0.000421423,0.0516035,-0.00019034,0.00168931
0.00041403,0.0516035,-1.18358e-17,-0.0017
0.000421423,0.0516035,-0.00019034,-0.00168931
0.0004359,0.0516035,-0.000378286,-0.00165738
0.000448283,0.0516035,-0.000561475,-0.0016046
0.000457181,0.0516035,-0.000737603,-0.00153165
0.000462952,0.0516035,-0.000904455,-0.00143943
0.000466156,0.0516035,-0.00105993,-0.00132911
0.000467178,0.0516035,-0.00120208,-0.00120208
0.000466151,0.0516035,-0.00132911,-0.00105993
0.000462943,0.0516035,-0.00143943,-0.000904455
0.000457168,0.0516035,-0.00153165,-0.000737603
0.000448265,0.0516035,-0.0016046,-0.000561475
0.000435876,0.0516035,-0.00165738,-0.000378286
0.000421397,0.0516035,-0.00168931,-0.00019034
0.000421457,0.0516035,0.00168931,-0.00019034
0.000435936,0.0516035,0.00165738,-0.000378286
0.000448323,0.0516035,0.0016046,-0.000561475
