OSI,Points:0,Points:1,Points:2
0.000414006,0.0512213,-1.09959e-17,0.0017
0.000421402,0.0512213,0.00019034,0.00168931
0.000435883,0.0512213,0.000378286,0.00165738
0.000448272,0.0512213,0.000561475,0.0016046
0.000457175,0.0512213,0.000737603,0.00153165
0.000462951,0.0512213,0.000904455,0.00143943
0.000466159,0.0512213,0.00105993,0.00132911
0.000467185,0.0512213,0.00120208,0.00120208
0.000466162,0.0512213,0.00132911,0.00105993
0.000462956,0.0512213,0.00143943,0.000904455
0.000457184,0.0512213,0.00153165,0.000737603
0.000448284,0.0512213,0.0016046,0.000561475
0.000435897,0.0512213,0.00165738,0.000378286
0.000421419,0.0512213,0.00168931,0.00019034
0.000414024,0.0512213,0.0017,-3.77476e-19
0.000413989,0.0512213,-0.0017,3.77476e-19
0.000421384,0.0512213,-0.00168931,0.00019034
0.000435863,0.0512213,-0.00165738,0.000378286
0.00044825,0.0512213,-0.0016046,0.000561475
0.000457152,0.0512213,-0.00153165,0.000737603
0.000462926,0.0512213,-0.00143943,0.000904455
0.000466133,0.0512213,-0.00132911,0.00105993
0.00046716,0.0512213,-0.00120208,0.00120208
0.000466137,0.0512213,-0.00105993,0.00132911
0.000462932,0.0512213,-0.000904455,0.00143943
0.00045716,0.0512213,-0.000737603,0.00153165
0.000448261,0.0512213,-0.000561475,0.0016046
0.000435875,0.0512213,-0.000378286,0.00165738
0.000421398,0.0512213,-0.00019034,0.00168931
0.000414006,0.0512213,-1.17509e-17,-0.0017
0.000421398,0.0512213,-0.00019034,-0.00168931
0.000435875,0.0512213,-0.000378286,-0.00165738
0.00044826,0.0512213,-0.000561475,-0.0016046
0.00045716,0.0512213,-0.000737603,-0.00153165
0.000462932,0.0512213,-0.000904455,-0.00143943
0.000466137,0.0512213,-0.00105993,-0.00132911
0.00046716,0.0512213,-0.00120208,-0.00120208
0.000466133,0.0512213,-0.00132911,-0.00105993
0.000462925,0.0512213,-0.00143943,-0.000904455
0.000457151,0.0512213,-0.00153165,-0.000737603
0.00044825,0.0512213,-0.0016046,-0.000561475
0.000435863,0.0512213,-0.00165738,-0.000378286
0.000421384,0.0512213,-0.00168931,-0.00019034
0.000421419,0.0512213,0.00168931,-0.00019034
0.000435897,0.0512213,0.00165738,-0.000378286
0.000448284,0.0512213,0.0016046,-0.000561475
0.000457184,0.0512213,0.00153165,-0.000737603
0.000462956,0.0512213,0.00143943,-0.000904455
0.000466162,0.0512213,0.00132911,-0.00105993
0.000467185,0.0512213,0.00120208,-0.00120208
0.000466159,0.0512213,0.00105993,-0.00132911
0.000462951,0.0512213,0.000904455,-0.00143943
0.000457176,0.0512213,0.000737603,-0.00153165
0.000448273,0.0512213,0.000561475,-0.0016046
0.000435883,0.0512213,0.000378286,-0.00165738
0.000421402,0.0512213,0.00019034,-0.00168931
0.000414031,0.0516035,-1.10808e-17,0.0017
0.000421429,0.0516035,0.00019034,0.00168931
0.000435911,0.0516035,0.000378286,0.00165738
0.000448302,0.0516035,0.000561475,0.0016046
0.000457206,0.0516035,0.000737603,0.00153165
0.000462982,0.0516035,0.000904455,0.00143943
0.000466191,0.0516035,0.00105993,0.00132911
0.000467218,0.0516035,0.00120208,0.00120208
0.000466194,0.0516035,0.00132911,0.00105993
0.00046299,0.0516035,0.00143943,0.000904455
0.000457218,0.0516035,0.00153165,0.000737603
0.000448317,0.0516035,0.0016046,0.000561475
0.00043593,0.0516035,0.00165738,0.000378286
0.000421451,0.0516035,0.00168931,0.00019034
0.000414056,0.0516035,0.0017,-3.77476e-19
0.000414008,0.0516035,-0.0017,3.77476e-19
0.000421403,0.0516035,-0.00168931,0.00019034
0.000435882,0.0516035,-0.00165738,0.000378286
0.000448271,0.0516035,-0.0016046,0.000561475
0.000457173,0.0516035,-0.00153165,0.000737603
0.000462947,0.0516035,-0.00143943,0.000904455
0.000466156,0.0516035,-0.00132911,0.00105993
0.000467183,0.0516035,-0.00120208,0.00120208
0.00046616,0.0516035,-0.00105993,0.00132911
0.000462955,0.0516035,-0.000904455,0.00143943
0.000457184,0.0516035,-0.000737603,0.00153165
0.000448285,0.0516035,-0.000561475,0.0016046
0.0004359,0.0516035,-0.000378286,0.00165738
0.000421423,0.0516035,-0.00019034,0.00168931
0.00041403,0.0516035,-1.18358e-17,-0.0017
0.000421423,0.0516035,-0.00019034,-0.00168931
0.0004359,0.0516035,-0.000378286,-0.00165738
0.000448285,0.0516035,-0.000561475,-0.0016046
0.000457184,0.0516035,-0.000737603,-0.00153165
0.000462955,0.0516035,-0.000904455,-0.00143943
0.00046616,0.0516035,-0.00105993,-0.00132911
0.000467183,0.0516035,-0.00120208,-0.00120208
0.000466156,0.0516035,-0.00132911,-0.00105993
