OSI,Points:0,Points:1,Points:2
0.000414007,0.0512213,-1.09959e-17,0.0017
0.000421402,0.0512213,0.00019034,0.00168931
0.000435881,0.0512213,0.000378286,0.00165738
0.000448269,0.0512213,0.000561475,0.0016046
0.000457171,0.0512213,0.000737603,0.00153165
0.000462945,0.0512213,0.000904455,0.00143943
0.000466152,0.0512213,0.00105993,0.00132911
0.000467178,0.0512213,0.00120208,0.00120208
0.000466153,0.0512213,0.00132911,0.00105993
0.000462947,0.0512213,0.00143943,0.000904455
0.000457174,0.0512213,0.00153165,0.000737603
0.000448273,0.0512213,0.0016046,0.000561475
0.000435886,0.0512213,0.00165738,0.000378286
0.000421407,0.0512213,0.00168931,0.00019034
0.000414012,0.0512213,0.0017,-3.77476e-19
0.000413999,0.0512213,-0.0017,3.77476e-19
0.000421394,0.0512213,-0.00168931,0.00019034
0.000435873,0.0512213,-0.00165738,0.000378286
0.000448261,0.0512213,-0.0016046,0.000561475
0.000457161,0.0512213,-0.00153165,0.000737603
0.000462935,0.0512213,-0.00143943,0.000904455
0.000466142,0.0512213,-0.00132911,0.00105993
0.000467167,0.0512213,-0.00120208,0.00120208
0.000466143,0.0512213,-0.00105993,0.00132911
0.000462938,0.0512213,-0.000904455,0.00143943
0.000457165,0.0512213,-0.000737603,0.00153165
0.000448265,0.0512213,-0.000561475,0.0016046
0.000435879,0.0512213,-0.000378286,0.00165738
0.0004214,0.0512213,-0.00019034,0.00168931
0.000414006,0.0512213,-1.17509e-17,-0.0017
0.0004214,0.0512213,-0.00019034,-0.00168931
0.000435879,0.0512213,-0.000378286,-0.00165738
0.000448265,0.0512213,-0.000561475,-0.0016046
0.000457165,0.0512213,-0.000737603,-0.00153165
0.000462936,0.0512213,-0.000904455,-0.00143943
0.000466142,0.0512213,-0.00105993,-0.00132911
0.000467167,0.0512213,-0.00120208,-0.00120208
0.000466142,0.0512213,-0.00132911,-0.00105993
0.000462935,0.0512213,-0.00143943,-0.000904455
0.000457161,0.0512213,-0.00153165,-0.000737603
0.00044826,0.0512213,-0.0016046,-0.000561475
0.000435873,0.0512213,-0.00165738,-0.000378286
0.000421394,0.0512213,-0.00168931,-0.00019034
0.000421407,0.0512213,0.00168931,-0.00019034
0.000435886,0.0512213,0.00165738,-0.000378286
0.000448273,0.0512213,0.0016046,-0.000561475
0.000457174,0.0512213,0.00153165,-0.000737603
0.000462947,0.0512213,0.00143943,-0.000904455
0.000466153,0.0512213,0.00132911,-0.00105993
0.000467178,0.0512213,0.00120208,-0.00120208
0.000466152,0.0512213,0.00105993,-0.00132911
0.000462945,0.0512213,0.000904455,-0.00143943
0.000457171,0.0512213,0.000737603,-0.00153165
0.000448269,0.0512213,0.000561475,-0.0016046
0.000435881,0.0512213,0.000378286,-0.00165738
0.000421402,0.0512213,0.00019034,-0.00168931
0.000414033,0.0516035,-1.10808e-17,0.0017
0.000421428,0.0516035,0.00019034,0.00168931
0.000435908,0.0516035,0.000378286,0.00165738
0.000448297,0.0516035,0.000561475,0.0016046
0.000457199,0.0516035,0.000737603,0.00153165
0.000462974,0.0516035,0.000904455,0.00143943
0.000466181,0.0516035,0.00105993,0.00132911
0.000467207,0.0516035,0.00120208,0.00120208
0.000466183,0.0516035,0.00132911,0.00105993
0.000462977,0.0516035,0.00143943,0.000904455
0.000457203,0.0516035,0.00153165,0.000737603
0.000448303,0.0516035,0.0016046,0.000561475
0.000435916,0.0516035,0.00165738,0.000378286
0.000421436,0.0516035,0.00168931,0.00019034
0.000414041,0.0516035,0.0017,-3.77476e-19
0.000414023,0.0516035,-0.0017,3.77476e-19
0.000421418,0.0516035,-0.00168931,0.00019034
0.000435897,0.0516035,-0.00165738,0.000378286
0.000448285,0.0516035,-0.0016046,0.000561475
0.000457187,0.0516035,-0.00153165,0.000737603
0.00046296,0.0516035,-0.00143943,0.000904455
0.000466168,0.0516035,-0.00132911,0.00105993
0.000467194,0.0516035,-0.00120208,0.00120208
0.000466169,0.0516035,-0.00105993,0.00132911
0.000462963,0.0516035,-0.000904455,0.00143943
0.000457191,0.0516035,-0.000737603,0.00153165
0.000448291,0.0516035,-0.000561475,0.0016046
0.000435904,0.0516035,-0.000378286,0.00165738
0.000421426,0.0516035,-0.00019034,0.00168931
0.000414032,0.0516035,-1.18358e-17,-0.0017
0.000421426,0.0516035,-0.00019034,-0.00168931
0.000435904,0.0516035,-0.000378286,-0.00165738
0.000448291,0.0516035,-0.000561475,-0.0016046
0.000457191,0.0516035,-0.000737603,-0.00153165
0.000462963,0.0516035,-0.000904455,-0.00143943
0.000466168,0.0516035,-0.00105993,-0.00132911
0.000467194,0.0516035,-0.00120208,-0.00120208
0.000466168,0.0516035,-0.00132911,-0.00105993
0.00046296,0.0516035,-0.00143943,-0.000904455
