OSI,Points:0,Points:1,Points:2
0.000429358,0.0512213,-1.09959e-17,0.0017
0.000438301,0.0512213,0.000265939,0.00167907
0.000453758,0.0512213,0.000525329,0.0016168
0.00046374,0.0512213,0.000771784,0.00151471
0.000468665,0.0512213,0.000999235,0.00137533
0.000470113,0.0512213,0.00120208,0.00120208
0.000468671,0.0512213,0.00137533,0.000999235
0.00046375,0.0512213,0.00151471,0.000771784
0.000453773,0.0512213,0.0016168,0.000525329
0.000438319,0.0512213,0.00167907,0.000265939
0.00042938,0.0512213,0.0017,-3.77476e-19
0.000429335,0.0512213,-0.0017,3.77476e-19
0.000438275,0.0512213,-0.00167907,0.000265939
0.00045373,0.0512213,-0.0016168,0.000525329
0.00046371,0.0512213,-0.00151471,0.000771784
0.000468633,0.0512213,-0.00137533,0.000999235
0.00047008,0.0512213,-0.00120208,0.00120208
0.000468638,0.0512213,-0.000999235,0.00137533
0.000463719,0.0512213,-0.000771784,0.00151471
0.000453744,0.0512213,-0.000525329,0.0016168
0.000438294,0.0512213,-0.000265939,0.00167907
0.000429358,0.0512213,-1.17509e-17,-0.0017
0.000438294,0.0512213,-0.000265939,-0.00167907
0.000453744,0.0512213,-0.000525329,-0.0016168
0.000463719,0.0512213,-0.000771784,-0.00151471
0.000468638,0.0512213,-0.000999235,-0.00137533
0.00047008,0.0512213,-0.00120208,-0.00120208
0.000468633,0.0512213,-0.00137533,-0.000999235
0.00046371,0.0512213,-0.00151471,-0.000771784
0.00045373,0.0512213,-0.0016168,-0.000525329
0.000438275,0.0512213,-0.00167907,-0.000265939
0.000438319,0.0512213,0.00167907,-0.000265939
0.000453773,0.0512213,0.0016168,-0.000525329
0.00046375,0.0512213,0.00151471,-0.000771784
0.000468671,0.0512213,0.00137533,-0.000999235
0.000470113,0.0512213,0.00120208,-0.00120208
0.000468665,0.0512213,0.000999235,-0.00137533
0.00046374,0.0512213,0.000771784,-0.00151471
0.000453758,0.0512213,0.000525329,-0.0016168
0.000438301,0.0512213,0.000265939,-0.00167907
0.000429384,0.0516035,-1.10808e-17,0.0017
0.000438328,0.0516035,0.000265939,0.00167907
0.000453787,0.0516035,0.000525329,0.0016168
0.000463771,0.0516035,0.000771784,0.00151471
0.000468697,0.0516035,0.000999235,0.00137533
0.000470146,0.0516035,0.00120208,0.00120208
0.000468704,0.0516035,0.00137533,0.000999235
0.000463785,0.0516035,0.00151471,0.000771784
0.000453808,0.0516035,0.0016168,0.000525329
0.000438354,0.0516035,0.00167907,0.000265939
0.000429415,0.0516035,0.0017,-3.77476e-19
0.000429352,0.0516035,-0.0017,3.77476e-19
0.000438292,0.0516035,-0.00167907,0.000265939
0.000453748,0.0516035,-0.0016168,0.000525329
0.000463729,0.0516035,-0.00151471,0.000771784
0.000468653,0.0516035,-0.00137533,0.000999235
0.000470101,0.0516035,-0.00120208,0.00120208
0.00046866,0.0516035,-0.000999235,0.00137533
0.000463742,0.0516035,-0.000771784,0.00151471
0.000453768,0.0516035,-0.000525329,0.0016168
0.000438318,0.0516035,-0.000265939,0.00167907
0.000429384,0.0516035,-1.18358e-17,-0.0017
0.000438318,0.0516035,-0.000265939,-0.00167907
0.000453768,0.0516035,-0.000525329,-0.0016168
0.000463742,0.0516035,-0.000771784,-0.00151471
0.00046866,0.0516035,-0.000999235,-0.00137533
0.000470101,0.0516035,-0.00120208,-0.00120208
0.000468653,0.0516035,-0.00137533,-0.000999235
0.000463729,0.0516035,-0.00151471,-0.000771784
0.000453748,0.0516035,-0.0016168,-0.000525329
0.000438292,0.0516035,-0.00167907,-0.000265939
0.000438354,0.0516035,0.00167907,-0.000265939
0.000453808,0.0516035,0.0016168,-0.000525329
0.000463785,0.0516035,0.00151471,-0.000771784
0.000468704,0.0516035,0.00137533,-0.000999235
0.000470146,0.0516035,0.00120208,-0.00120208
0.000468697,0.0516035,0.000999235,-0.00137533
0.000463771,0.0516035,0.000771784,-0.00151471
