U:0,U:1,U:2,p,Points:0,Points:1,Points:2
0.3125,0,0,51.7289,2.19358e-10,0.0002,4e-05
0.343971,7.34141e-06,4.18182e-09,51.6958,1.07541e-05,0.0002,4e-05
0.375441,1.46828e-05,8.36364e-09,51.6627,2.1508e-05,0.0002,4e-05
0.406912,2.20242e-05,1.25455e-08,51.6297,3.22618e-05,0.0002,4e-05
0.438382,2.93657e-05,1.67273e-08,51.5966,4.30157e-05,0.0002,4e-05
0.461669,2.25342e-05,1.24263e-08,51.5653,5.37696e-05,0.0002,4e-05
0.469799,2.084e-05,-7.57795e-09,51.5373,6.45235e-05,0.0002,4e-05
0.477929,1.91459e-05,-2.75822e-08,51.5092,7.52773e-05,0.0002,4e-05
0.486059,1.74517e-05,-4.75865e-08,51.4812,8.60312e-05,0.0002,4e-05
0.494189,1.57575e-05,-6.75908e-08,51.4531,9.67851e-05,0.0002,4e-05
0.498628,1.0896e-05,-6.28294e-08,51.4277,0.000107539,0.0002,4e-05
0.501874,7.88786e-06,-5.00733e-08,51.4031,0.000118293,0.0002,4e-05
0.505121,4.87976e-06,-3.73173e-08,51.3785,0.000129047,0.0002,4e-05
0.508368,1.87166e-06,-2.45612e-08,51.3539,0.000139801,0.0002,4e-05
0.511463,5.09015e-06,-1.40239e-08,51.3279,0.000150554,0.0002,4e-05
0.514007,2.55542e-06,-1.15899e-08,51.2967,0.000161308,0.0002,4e-05
0.51655,2.06837e-08,-9.15589e-09,51.2654,0.000172062,0.0002,4e-05
0.519094,-2.51405e-06,-6.72188e-09,51.2342,0.000182816,0.0002,4e-05
0.521638,-5.04878e-06,-4.28788e-09,51.2029,0.00019357,0.0002,4e-05
0.523078,4.97703e-06,-2.8417e-09,51.1757,0.000204324,0.0002,4e-05
0.524104,3.31211e-07,-1.7657e-09,51.15,0.000215078,0.0002,4e-05
0.52513,-4.31462e-06,-6.89701e-10,51.1243,0.000225832,0.0002,4e-05
0.526157,-8.96044e-06,3.86297e-10,51.0985,0.000236585,0.0002,4e-05
0.527193,5.35273e-08,1.10301e-09,51.0714,0.000247339,0.0002,4e-05
0.528255,-1.4989e-06,9.51355e-10,51.041,0.000258093,0.0002,4e-05
0.529316,-3.05131e-06,7.99696e-10,51.0105,0.000268847,0.0002,4e-05
0.530378,-4.60373e-06,6.48038e-10,50.98,0.000279601,0.0002,4e-05
0.531439,1.65022e-06,4.96695e-10,50.9495,0.000290355,0.0002,4e-05
0.531672,1.90418e-06,4.16591e-10,50.9226,0.000301109,0.0002,4e-05
0.531822,-7.82735e-07,3.43485e-10,50.8959,0.000311863,0.0002,4e-05
0.531972,-3.46964e-06,2.70378e-10,50.8693,0.000322616,0.0002,4e-05
0.532122,-6.15655e-06,1.97272e-10,50.8427,0.00033337,0.0002,4e-05
0.532402,-6.09981e-07,1.44302e-10,50.8143,0.000344124,0.0002,4e-05
0.532776,-8.64366e-07,1.06262e-10,50.7846,0.000354878,0.0002,4e-05
0.53315,-1.11875e-06,6.82231e-11,50.7549,0.000365632,0.0002,4e-05
0.533524,-1.37313e-06,3.01837e-11,50.7252,0.000376386,0.0002,4e-05
0.533764,2.24607e-06,2.52085e-12,50.6962,0.00038714,0.0002,4e-05
0.533688,1.04043e-06,-1.0765e-12,50.669,0.000397894,0.0002,4e-05
0.533612,-1.65202e-07,-4.67385e-12,50.6417,0.000408647,0.0002,4e-05
0.533536,-1.37084e-06,-8.2712e-12,50.6145,0.000419401,0.0002,4e-05
0.533476,-2.43226e-07,-1.17321e-11,50.5871,0.000430155,0.0002,4e-05
0.533629,-1.16936e-08,-1.03432e-11,50.5579,0.000440909,0.0002,4e-05
0.533782,2.19838e-07,-8.9544e-12,50.5287,0.000451663,0.0002,4e-05
0.533935,4.51371e-07,-7.56556e-12,50.4996,0.000462417,0.0002,4e-05
0.534089,1.52724e-06,-6.01202e-12,50.4704,0.000473171,0.0002,4e-05
0.53403,1.3124e-06,-2.82176e-12,50.4425,0.000483924,0.0002,4e-05
0.533944,7.65013e-07,5.47916e-13,50.4149,0.000494678,0.0002,4e-05
0.533858,2.17624e-07,3.91762e-12,50.3872,0.000505432,0.0002,4e-05
0.533772,-4.0131e-08,7.28415e-12,50.3596,0.000516186,0.0002,4e-05
0.533811,2.63029e-07,8.55478e-12,50.331,0.00052694,0.0002,4e-05
0.53389,5.3163e-07,9.14181e-12,50.3022,0.000537694,0.0002,4e-05
0.533969,8.00232e-07,9.72884e-12,50.2733,0.000548448,0.0002,4e-05
0.534049,1.14865e-06,1.03394e-11,50.2445,0.000559202,0.0002,4e-05
0.534035,1.15056e-06,8.28397e-12,50.2163,0.000569955,0.0002,4e-05
0.533976,8.66523e-07,4.88011e-12,50.1884,0.000580709,0.0002,4e-05
0.533916,5.82482e-07,1.47622e-12,50.1604,0.000591463,0.0002,4e-05
0.533857,3.3453e-07,-1.9378e-12,50.1325,0.000602217,0.0002,4e-05
0.533865,4.04715e-07,-4.8401e-12,50.1042,0.000612971,0.0002,4e-05
0.533912,5.96871e-07,-7.42961e-12,50.0755,0.000623725,0.0002,4e-05
0.533959,7.89027e-07,-1.00191e-11,50.0469,0.000634479,0.0002,4e-05
0.534006,9.82495e-07,-1.2586e-11,50.0183,0.000645233,0.0002,4e-05
0.533998,9.45383e-07,-1.20284e-11,49.99,0.000655986,0.0002,4e-05
0.533961,7.7991e-07,-9.78429e-12,49.9619,0.00066674,0.0002,4e-05
0.533925,6.14435e-07,-7.54013e-12,49.9339,0.000677494,0.0002,4e-05
0.533888,4.53921e-07,-5.33051e-12,49.9058,0.000688248,0.0002,4e-05
0.533897,4.92376e-07,-2.12268e-12,49.8774,0.000699002,0.0002,4e-05
0.533926,6.11266e-07,1.52887e-12,49.8489,0.000709756,0.0002,4e-05
0.533955,7.30155e-07,5.18042e-12,49.8203,0.00072051,0.0002,4e-05
0.533983,8.40104e-07,8.84777e-12,49.7918,0.000731264,0.0002,4e-05
0.533971,7.77395e-07,1.04075e-11,49.7636,0.000742017,0.0002,4e-05
0.533949,6.75655e-07,1.14631e-11,49.7354,0.000752771,0.0002,4e-05
0.533927,5.73914e-07,1.25186e-11,49.7072,0.000763525,0.0002,4e-05
0.533904,4.72734e-07,1.35511e-11,49.6791,0.000774279,0.0002,4e-05
0.53392,5.3453e-07,9.58083e-12,49.6506,0.000785033,0.0002,4e-05
0.533938,6.03463e-07,5.39155e-12,49.6222,0.000795787,0.0002,4e-05
0.533956,6.72397e-07,1.20227e-12,49.5937,0.000806541,0.0002,4e-05
0.533969,7.16346e-07,-2.60436e-12,49.5653,0.000817295,0.0002,4e-05
0.533956,6.52549e-07,-4.29792e-12,49.5371,0.000828048,0.0002,4e-05
0.533943,5.88751e-07,-5.99148e-12,49.5089,0.000838802,0.0002,4e-05
0.53393,5.25263e-07,-7.69988e-12,49.4806,0.000849556,0.0002,4e-05
0.533926,5.02539e-07,-8.46008e-12,49.4523,0.00086031,0.0002,4e-05
0.533937,5.40647e-07,-7.64561e-12,49.424,0.000871064,0.0002,4e-05
0.533948,5.78755e-07,-6.83113e-12,49.3956,0.000881818,0.0002,4e-05
0.533959,6.1743e-07,-6.0345e-12,49.3672,0.000892572,0.0002,4e-05
0.533957,6.02756e-07,-4.92738e-12,49.3389,0.000903326,0.0002,4e-05
0.533949,5.62238e-07,-3.66235e-12,49.3106,0.000914079,0.0002,4e-05
0.533942,5.21719e-07,-2.39733e-12,49.2824,0.000924833,0.0002,4e-05
0.533934,4.83389e-07,-1.13672e-12,49.2541,0.000935587,0.0002,4e-05
0.533941,5.0314e-07,9.95005e-13,49.2257,0.000946341,0.0002,4e-05
0.533947,5.22891e-07,3.12673e-12,49.1974,0.000957095,0.0002,4e-05
0.533954,5.43532e-07,5.26579e-12,49.169,0.000967849,0.0002,4e-05
0.533957,5.48663e-07,5.63606e-12,49.1406,0.000978603,0.0002,4e-05
0.533952,5.22422e-07,2.99228e-12,49.1124,0.000989357,0.0002,4e-05
0.533948,4.96181e-07,3.48508e-13,49.0841,0.00100011,0.0002,4e-05
0.533944,4.71568e-07,-2.29878e-12,49.0558,0.00101086,0.0002,4e-05
0.533946,4.73567e-07,-6.67573e-12,49.0274,0.00102162,0.0002,4e-05
0.53395,4.82581e-07,-1.15238e-11,48.9991,0.00103237,0.0002,4e-05
0.533955,4.92183e-07,-1.637e-11,48.9707,0.00104313,0.0002,4e-05
0.533957,4.98497e-07,-1.89989e-11,48.9424,0.00105388,0.0002,4e-05
0.533955,4.80936e-07,-1.46572e-11,48.9141,0.00106463,0.0002,4e-05
0.533952,4.63375e-07,-1.03156e-11,48.8858,0.00107539,0.0002,4e-05
0.53395,4.47406e-07,-6.02661e-12,48.8575,0.00108614,0.0002,4e-05
0.533951,4.45519e-07,9.75299e-13,48.8291,0.0010969,0.0002,4e-05
0.533954,4.48347e-07,8.96057e-12,48.8008,0.00110765,0.0002,4e-05
0.533957,4.5206e-07,1.69194e-11,48.7725,0.0011184,0.0002,4e-05
0.533958,4.54217e-07,2.17945e-11,48.7441,0.00112916,0.0002,4e-05
0.533957,4.41849e-07,1.87689e-11,48.7158,0.00113991,0.0002,4e-05
0.533956,4.29482e-07,1.57434e-11,48.6875,0.00115066,0.0002,4e-05
0.533954,4.19123e-07,1.27171e-11,48.6592,0.00116142,0.0002,4e-05
0.533956,4.17074e-07,4.55528e-12,48.6309,0.00117217,0.0002,4e-05
0.533957,4.16384e-07,-4.50949e-12,48.6026,0.00118293,0.0002,4e-05
0.533959,4.17513e-07,-1.35007e-11,48.5742,0.00119368,0.0002,4e-05
0.53396,4.15212e-07,-1.91005e-11,48.5459,0.00120443,0.0002,4e-05
0.533959,4.05989e-07,-2.09656e-11,48.5176,0.00121519,0.0002,4e-05
0.533959,3.96966e-07,-2.28528e-11,48.4893,0.00122594,0.0002,4e-05
0.533958,3.909e-07,-2.48939e-11,48.461,0.0012367,0.0002,4e-05
0.533959,3.88302e-07,-2.61197e-11,48.4327,0.00124745,0.0002,4e-05
0.533961,3.85704e-07,-2.73455e-11,48.4043,0.0012582,0.0002,4e-05
0.533962,3.86324e-07,-2.90791e-11,48.376,0.00126896,0.0002,4e-05
0.533962,3.80564e-07,-3.1551e-11,48.3477,0.00127971,0.0002,4e-05
0.533962,3.73216e-07,-3.41532e-11,48.3194,0.00129046,0.0002,4e-05
0.533962,3.67319e-07,-3.70487e-11,48.2911,0.00130122,0.0002,4e-05
0.533962,3.63263e-07,-3.9725e-11,48.2627,0.00131197,0.0002,4e-05
0.533963,3.59638e-07,-4.20154e-11,48.2344,0.00132273,0.0002,4e-05
0.533964,3.57182e-07,-4.46499e-11,48.2061,0.00133348,0.0002,4e-05
0.533965,3.55245e-07,-4.74422e-11,48.1777,0.00134423,0.0002,4e-05
0.533965,3.49032e-07,-4.89855e-11,48.1494,0.00135499,0.0002,4e-05
0.533965,3.43176e-07,-5.08302e-11,48.1211,0.00136574,0.0002,4e-05
0.533965,3.39649e-07,-5.3956e-11,48.0927,0.0013765,0.0002,4e-05
0.533966,3.35519e-07,-5.2349e-11,48.0644,0.00138725,0.0002,4e-05
0.533966,3.31388e-07,-5.0742e-11,48.0361,0.001398,0.0002,4e-05
0.533967,3.30692e-07,-4.81351e-11,48.0078,0.00140876,0.0002,4e-05
0.533967,3.25288e-07,-4.08385e-11,47.9795,0.00141951,0.0002,4e-05
0.533967,3.1982e-07,-3.34787e-11,47.9512,0.00143027,0.0002,4e-05
0.533968,3.16806e-07,-1.46609e-11,47.9228,0.00144102,0.0002,4e-05
0.533968,3.12778e-07,2.22671e-11,47.8945,0.00145177,0.0002,4e-05
0.533969,3.0855e-07,6.16316e-11,47.8662,0.00146253,0.0002,4e-05
0.533969,3.06923e-07,1.12582e-10,47.8378,0.00147328,0.0002,4e-05
0.53397,3.02849e-07,1.68696e-10,47.8095,0.00148403,0.0002,4e-05
0.53397,2.97965e-07,2.2542e-10,47.7812,0.00149479,0.0002,4e-05
0.53397,2.95202e-07,2.72921e-10,47.7528,0.00150554,0.0002,4e-05
0.533971,2.91485e-07,2.94491e-10,47.7245,0.0015163,0.0002,4e-05
0.533971,2.87234e-07,3.08323e-10,47.6962,0.00152705,0.0002,4e-05
0.533972,2.85327e-07,3.09968e-10,47.6679,0.0015378,0.0002,4e-05
0.533972,2.8163e-07,2.94338e-10,47.6396,0.00154856,0.0002,4e-05
0.533972,2.77057e-07,2.74006e-10,47.6113,0.00155931,0.0002,4e-05
0.533973,2.74655e-07,2.55522e-10,47.583,0.00157007,0.0002,4e-05
0.533973,2.71026e-07,2.44468e-10,47.5546,0.00158082,0.0002,4e-05
0.533974,2.66861e-07,2.35501e-10,47.5263,0.00159157,0.0002,4e-05
0.533974,2.65192e-07,2.28151e-10,47.498,0.00160233,0.0002,4e-05
0.533975,2.6143e-07,2.21515e-10,47.4696,0.00161308,0.0002,4e-05
0.533975,2.57163e-07,2.14972e-10,47.4413,0.00162383,0.0002,4e-05
0.533975,2.55462e-07,2.1081e-10,47.413,0.00163459,0.0002,4e-05
0.533976,2.51624e-07,2.04818e-10,47.3847,0.00164534,0.0002,4e-05
0.533976,2.47876e-07,1.98897e-10,47.3563,0.0016561,0.0002,4e-05
0.533976,2.46461e-07,1.95352e-10,47.328,0.00166685,0.0002,4e-05
0.533977,2.42436e-07,1.96551e-10,47.2997,0.0016776,0.0002,4e-05
0.533977,2.39092e-07,1.97772e-10,47.2714,0.00168836,0.0002,4e-05
0.533978,2.3713e-07,1.96943e-10,47.243,0.00169911,0.0002,4e-05
0.533978,2.3328e-07,1.88754e-10,47.2147,0.00170987,0.0002,4e-05
0.533978,2.30645e-07,1.81396e-10,47.1864,0.00172062,0.0002,4e-05
0.533979,2.28335e-07,1.78666e-10,47.1581,0.00173137,0.0002,4e-05
0.533979,2.24511e-07,1.8099e-10,47.1297,0.00174213,0.0002,4e-05
0.53398,2.22441e-07,1.85412e-10,47.1014,0.00175288,0.0002,4e-05
