U:0,U:1,U:2,Points:0,Points:1,Points:2
0.044494,4.43257e-08,-1.72901e-12,0.000871064,0.0002,4e-05
0.0444971,5.11362e-08,-1.6851e-12,0.000881818,0.0002,4e-05
0.0445002,5.71358e-08,-1.64085e-12,0.000892572,0.0002,4e-05
0.0444995,5.41837e-08,-1.55728e-12,0.000903326,0.0002,4e-05
0.0444969,4.73621e-08,-1.45505e-12,0.000914079,0.0002,4e-05
0.0444944,4.05405e-08,-1.35283e-12,0.000924833,0.0002,4e-05
0.0444918,3.5471e-08,-1.25521e-12,0.000935587,0.0002,4e-05
0.0444941,4.01378e-08,-1.06311e-12,0.000946341,0.0002,4e-05
0.0444963,4.48046e-08,-8.70998e-13,0.000957095,0.0002,4e-05
0.0444985,4.92543e-08,-6.78861e-13,0.000967849,0.0002,4e-05
0.0444992,4.97173e-08,-6.40486e-13,0.000978603,0.0002,4e-05
0.0444974,4.47868e-08,-8.60484e-13,0.000989357,0.0002,4e-05
0.0444956,3.98563e-08,-1.08048e-12,0.00100011,0.0002,4e-05
0.0444938,3.58439e-08,-1.30335e-12,0.00101086,0.0002,4e-05
0.0444947,3.75448e-08,-1.6579e-12,0.00102162,0.0002,4e-05
0.0444963,4.06685e-08,-2.04793e-12,0.00103237,0.0002,4e-05
0.0444979,4.37304e-08,-2.43772e-12,0.00104313,0.0002,4e-05
0.0444988,4.4858e-08,-2.64693e-12,0.00105388,0.0002,4e-05
0.0444975,4.1283e-08,-2.2909e-12,0.00106463,0.0002,4e-05
0.0444962,3.7708e-08,-1.93486e-12,0.00107539,0.0002,4e-05
0.044495,3.47513e-08,-1.58e-12,0.00108614,0.0002,4e-05
0.0444955,3.55569e-08,-1.0089e-12,0.0010969,0.0002,4e-05
0.0444966,3.75825e-08,-3.60046e-13,0.00110765,0.0002,4e-05
0.0444977,3.95725e-08,2.87753e-13,0.0011184,0.0002,4e-05
0.0444983,4.01939e-08,7.16963e-13,0.00112916,0.0002,4e-05
0.0444974,3.75911e-08,5.76553e-13,0.00113991,0.0002,4e-05
0.0444966,3.49884e-08,4.36141e-13,0.00115066,0.0002,4e-05
0.0444957,3.29224e-08,2.93153e-13,0.00116142,0.0002,4e-05
0.0444962,3.37118e-08,-3.02781e-13,0.00117217,0.0002,4e-05
0.044497,3.4976e-08,-9.78223e-13,0.00118293,0.0002,4e-05
0.0444978,3.62437e-08,-1.65139e-12,0.00119368,0.0002,4e-05
0.044498,3.60294e-08,-2.20711e-12,0.00120443,0.0002,4e-05
0.0444974,3.41239e-08,-2.63303e-12,0.00121519,0.0002,4e-05
0.0444968,3.22564e-08,-3.05788e-12,0.00122594,0.0002,4e-05
0.0444963,3.11228e-08,-3.44402e-12,0.0012367,0.0002,4e-05
0.0444969,3.18588e-08,-3.65146e-12,0.00124745,0.0002,4e-05
0.0444975,3.25949e-08,-3.8589e-12,0.0012582,0.0002,4e-05
0.044498,3.34336e-08,-4.07314e-12,0.00126896,0.0002,4e-05
0.0444978,3.2425e-08,-4.11925e-12,0.00127971,0.0002,4e-05
0.0444974,3.10071e-08,-4.12826e-12,0.00129046,0.0002,4e-05
0.044497,2.97937e-08,-4.15757e-12,0.00130122,0.0002,4e-05
0.044497,2.95404e-08,-4.27389e-12,0.00131197,0.0002,4e-05
0.0444974,2.99084e-08,-4.44525e-12,0.00132273,0.0002,4e-05
0.0444978,3.03388e-08,-4.63684e-12,0.00133348,0.0002,4e-05
0.044498,3.03671e-08,-4.8469e-12,0.00134423,0.0002,4e-05
0.0444978,2.92879e-08,-5.00231e-12,0.00135499,0.0002,4e-05
0.0444975,2.82489e-08,-5.17767e-12,0.00136574,0.0002,4e-05
0.0444973,2.76054e-08,-5.43315e-12,0.0013765,0.0002,4e-05
0.0444976,2.77253e-08,-5.34693e-12,0.00138725,0.0002,4e-05
0.0444979,2.78452e-08,-5.26072e-12,0.001398,0.0002,4e-05
0.0444981,2.81995e-08,-5.24801e-12,0.00140876,0.0002,4e-05
0.044498,2.73767e-08,-5.63824e-12,0.00141951,0.0002,4e-05
0.0444978,2.6538e-08,-6.03392e-12,0.00143027,0.0002,4e-05
0.0444976,2.59323e-08,-6.29179e-12,0.00144102,0.0002,4e-05
0.0444978,2.5824e-08,-6.68553e-12,0.00145177,0.0002,4e-05
0.044498,2.57844e-08,-7.10224e-12,0.00146253,0.0002,4e-05
0.0444982,2.59499e-08,-6.76395e-12,0.00147328,0.0002,4e-05
0.0444982,2.54663e-08,-5.01214e-12,0.00148403,0.0002,4e-05
0.0444981,2.47993e-08,-2.9381e-12,0.00149479,0.0002,4e-05
0.044498,2.43164e-08,6.22345e-14,0.00150554,0.0002,4e-05
0.044498,2.41035e-08,1.98888e-12,0.0015163,0.0002,4e-05
0.0444982,2.39622e-08,3.46134e-12,0.00152705,0.0002,4e-05
0.0444983,2.40176e-08,5.00201e-12,0.0015378,0.0002,4e-05
0.0444983,2.36417e-08,4.98131e-12,0.00154856,0.0002,4e-05
0.0444983,2.30944e-08,4.40944e-12,0.00155931,0.0002,4e-05
0.0444982,2.27225e-08,3.27087e-12,0.00157007,0.0002,4e-05
0.0444983,2.24891e-08,3.27166e-12,0.00158082,0.0002,4e-05
0.0444984,2.22837e-08,3.65778e-12,0.00159157,0.0002,4e-05
0.0444985,2.22961e-08,3.47869e-12,0.00160233,0.0002,4e-05
0.0444985,2.19185e-08,3.63961e-12,0.00161308,0.0002,4e-05
0.0444985,2.14548e-08,3.88771e-12,0.00162383,0.0002,4e-05
0.0444984,2.11926e-08,3.65975e-12,0.00163459,0.0002,4e-05
0.0444985,2.09486e-08,3.87166e-12,0.00164534,0.0002,4e-05
0.0444986,2.07287e-08,4.07433e-12,0.0016561,0.0002,4e-05
0.0444987,2.07061e-08,3.90061e-12,0.00166685,0.0002,4e-05
0.0444987,2.03007e-08,4.48417e-12,0.0016776,0.0002,4e-05
0.0444986,1.99485e-08,4.94489e-12,0.00168836,0.0002,4e-05
0.0444986,1.97324e-08,5.04881e-12,0.00169911,0.0002,4e-05
0.0444987,1.94683e-08,5.11573e-12,0.00170987,0.0002,4e-05
0.0444988,1.93122e-08,4.96393e-12,0.00172062,0.0002,4e-05
0.0444988,1.91424e-08,5.23598e-12,0.00173137,0.0002,4e-05
0.0444988,1.87791e-08,6.44744e-12,0.00174213,0.0002,4e-05
0.0444988,1.85528e-08,7.32067e-12,0.00175288,0.0002,4e-05
0.0444989,1.83175e-08,8.54386e-12,0.00176364,0.0002,4e-05
0.0444989,1.80444e-08,1.0037e-11,0.00177439,0.0002,4e-05
0.044499,1.79863e-08,1.11497e-11,0.00178514,0.0002,4e-05
0.044499,1.76808e-08,1.11729e-11,0.0017959,0.0002,4e-05
0.044499,1.73987e-08,1.10449e-11,0.00180665,0.0002,4e-05
0.044499,1.72339e-08,1.08752e-11,0.0018174,0.0002,4e-05
0.0444991,1.69607e-08,1.10935e-11,0.00182816,0.0002,4e-05
0.0444991,1.68119e-08,1.13923e-11,0.00183891,0.0002,4e-05
0.0444992,1.66228e-08,1.18382e-11,0.00184967,0.0002,4e-05
0.0444992,1.63174e-08,1.23614e-11,0.00186042,0.0002,4e-05
0.0444992,1.61898e-08,1.30423e-11,0.00187117,0.0002,4e-05
0.0444992,1.59373e-08,1.34482e-11,0.00188193,0.0002,4e-05
0.0444993,1.5734e-08,1.38467e-11,0.00189268,0.0002,4e-05
0.0444993,1.56104e-08,1.43587e-11,0.00190344,0.0002,4e-05
0.0444993,1.53242e-08,1.5008e-11,0.00191419,0.0002,4e-05
0.0444993,1.51761e-08,1.58124e-11,0.00192494,0.0002,4e-05
0.0444994,1.49623e-08,1.6286e-11,0.0019357,0.0002,4e-05
0.0444994,1.47349e-08,1.66819e-11,0.00194645,0.0002,4e-05
0.0444995,1.46414e-08,1.74054e-11,0.00195721,0.0002,4e-05
0.0444995,1.43685e-08,1.76288e-11,0.00196796,0.0002,4e-05
0.0444995,1.42174e-08,1.81695e-11,0.00197871,0.0002,4e-05
0.0444995,1.40234e-08,1.85403e-11,0.00198947,0.0002,4e-05
0.0444996,1.37967e-08,1.87094e-11,0.00200022,0.0002,4e-05
0.0444996,1.37054e-08,1.88673e-11,0.00201097,0.0002,4e-05
0.0444996,1.3444e-08,1.88712e-11,0.00202173,0.0002,4e-05
