U:0,U:1,U:2,p,Points:0,Points:1,Points:2
0.00651,0,0,0.970607,2.19358e-10,0.0002,4e-05
0.00725821,1.53964e-07,5.00064e-11,0.970067,1.07541e-05,0.0002,4e-05
0.00800642,3.07928e-07,1.00013e-10,0.969527,2.1508e-05,0.0002,4e-05
0.00875463,4.61892e-07,1.50019e-10,0.968987,3.22618e-05,0.0002,4e-05
0.00950284,6.15855e-07,2.00026e-10,0.968447,4.30157e-05,0.0002,4e-05
0.010034,3.60805e-07,8.25604e-11,0.967901,5.37696e-05,0.0002,4e-05
0.0101632,2.85211e-07,-3.47548e-10,0.967344,6.45235e-05,0.0002,4e-05
0.0102923,2.09618e-07,-7.77657e-10,0.966786,7.52773e-05,0.0002,4e-05
0.0104215,1.34024e-07,-1.20777e-09,0.966229,8.60312e-05,0.0002,4e-05
0.0105507,5.84302e-08,-1.63787e-09,0.965672,9.67851e-05,0.0002,4e-05
0.0106294,1.60473e-07,-1.47473e-09,0.965128,0.000107539,0.0002,4e-05
0.0106917,7.43671e-08,-1.11767e-09,0.964588,0.000118293,0.0002,4e-05
0.0107541,-1.17388e-08,-7.60602e-10,0.964049,0.000129047,0.0002,4e-05
0.0108164,-9.78447e-08,-4.03535e-10,0.96351,0.000139801,0.0002,4e-05
0.0108726,8.06721e-08,-1.19646e-10,0.962954,0.000150554,0.0002,4e-05
0.0109061,1.47247e-08,-1.02954e-10,0.962342,0.000161308,0.0002,4e-05
0.0109397,-5.12226e-08,-8.62612e-11,0.961729,0.000172062,0.0002,4e-05
0.0109732,-1.1717e-07,-6.95687e-11,0.961116,0.000182816,0.0002,4e-05
0.0110068,-1.83117e-07,-5.28762e-11,0.960503,0.00019357,0.0002,4e-05
0.0110219,6.23674e-08,-4.0077e-11,0.959931,0.000204324,0.0002,4e-05
0.01103,6.47282e-09,-2.87316e-11,0.959373,0.000215078,0.0002,4e-05
0.0110382,-4.94219e-08,-1.73863e-11,0.958816,0.000225832,0.0002,4e-05
0.0110464,-1.05316e-07,-6.04092e-12,0.958259,0.000236585,0.0002,4e-05
0.011056,6.04245e-09,1.85283e-12,0.957685,0.000247339,0.0002,4e-05
0.0110689,-1.12346e-08,1.41382e-12,0.957072,0.000258093,0.0002,4e-05
0.0110818,-2.85115e-08,9.7482e-13,0.956458,0.000268847,0.0002,4e-05
0.0110947,-4.57885e-08,5.35816e-13,0.955845,0.000279601,0.0002,4e-05
0.0111076,2.73918e-08,9.79059e-14,0.955231,0.000290355,0.0002,4e-05
0.0111066,3.48145e-08,2.40659e-13,0.95466,0.000301109,0.0002,4e-05
0.0111041,8.53462e-09,4.40887e-13,0.954093,0.000311863,0.0002,4e-05
0.0111017,-1.77452e-08,6.41114e-13,0.953526,0.000322616,0.0002,4e-05
0.0110993,-4.40251e-08,8.41341e-13,0.952959,0.00033337,0.0002,4e-05
0.0111022,3.35732e-10,8.55413e-13,0.952368,0.000344124,0.0002,4e-05
0.0111089,1.96574e-09,7.26514e-13,0.95176,0.000354878,0.0002,4e-05
0.0111155,3.59574e-09,5.97615e-13,0.951151,0.000365632,0.0002,4e-05
0.0111222,5.22575e-09,4.68715e-13,0.950542,0.000376386,0.0002,4e-05
0.0111258,3.87276e-08,3.35999e-13,0.949944,0.00038714,0.0002,4e-05
0.011122,2.46759e-08,1.90066e-13,0.949371,0.000397894,0.0002,4e-05
0.0111183,1.06241e-08,4.41332e-14,0.948797,0.000408647,0.0002,4e-05
0.0111145,-3.42756e-09,-1.01799e-13,0.948224,0.000419401,0.0002,4e-05
0.0111113,1.08639e-09,-2.47373e-13,0.947649,0.000430155,0.0002,4e-05
0.0111156,6.98341e-09,-2.59984e-13,0.947045,0.000440909,0.0002,4e-05
0.0111199,1.28804e-08,-2.72596e-13,0.946441,0.000451663,0.0002,4e-05
0.0111242,1.87774e-08,-2.85208e-13,0.945836,0.000462417,0.0002,4e-05
0.0111285,3.15888e-08,-2.97067e-13,0.945232,0.000473171,0.0002,4e-05
0.0111261,2.63835e-08,-2.48135e-13,0.944652,0.000483924,0.0002,4e-05
0.0111229,1.74916e-08,-1.91486e-13,0.944074,0.000494678,0.0002,4e-05
0.0111197,8.59972e-09,-1.34837e-13,0.943496,0.000505432,0.0002,4e-05
0.0111164,3.00102e-09,-8.20333e-14,0.942918,0.000516186,0.0002,4e-05
0.0111179,7.79354e-09,-3.61733e-14,0.942324,0.00052694,0.0002,4e-05
0.011121,1.35067e-08,1.03097e-14,0.941723,0.000537694,0.0002,4e-05
0.011124,1.92199e-08,5.67926e-14,0.941123,0.000548448,0.0002,4e-05
0.011127,2.55286e-08,1.06473e-13,0.940523,0.000559202,0.0002,4e-05
0.0111264,2.40338e-08,1.16487e-13,0.939935,0.000569955,0.0002,4e-05
0.0111239,1.78329e-08,1.02336e-13,0.939354,0.000580709,0.0002,4e-05
0.0111214,1.16319e-08,8.81842e-14,0.938773,0.000591463,0.0002,4e-05
0.0111189,6.49692e-09,7.34597e-14,0.938192,0.000602217,0.0002,4e-05
0.0111194,8.66696e-09,6.81856e-14,0.9376,0.000612971,0.0002,4e-05
0.0111216,1.32321e-08,6.93463e-14,0.937002,0.000623725,0.0002,4e-05
0.0111238,1.77973e-08,7.05071e-14,0.936405,0.000634479,0.0002,4e-05
0.011126,2.21731e-08,7.32286e-14,0.935807,0.000645233,0.0002,4e-05
0.0111256,2.06639e-08,1.32875e-13,0.935219,0.000655986,0.0002,4e-05
0.0111238,1.61704e-08,2.21745e-13,0.934635,0.00066674,0.0002,4e-05
0.0111219,1.16768e-08,3.10615e-13,0.934051,0.000677494,0.0002,4e-05
0.0111201,8.01428e-09,3.99314e-13,0.933468,0.000688248,0.0002,4e-05
0.0111207,9.73018e-09,5.02951e-13,0.932876,0.000699002,0.0002,4e-05
0.0111223,1.31488e-08,6.12996e-13,0.932281,0.000709756,0.0002,4e-05
0.0111239,1.65674e-08,7.23041e-13,0.931685,0.00072051,0.0002,4e-05
0.0111255,1.94929e-08,8.34373e-13,0.93109,0.000731264,0.0002,4e-05
0.0111247,1.73047e-08,8.84944e-13,0.930502,0.000742017,0.0002,4e-05
0.0111234,1.40114e-08,9.20792e-13,0.929917,0.000752771,0.0002,4e-05
0.011122,1.07181e-08,9.56639e-13,0.929331,0.000763525,0.0002,4e-05
0.0111207,8.34423e-09,9.90869e-13,0.928746,0.000774279,0.0002,4e-05
0.0111218,1.06392e-08,9.03896e-13,0.928153,0.000785033,0.0002,4e-05
0.0111229,1.31211e-08,8.11638e-13,0.927559,0.000795787,0.0002,4e-05
0.0111241,1.56031e-08,7.19379e-13,0.926965,0.000806541,0.0002,4e-05
0.011125,1.67618e-08,6.37586e-13,0.926372,0.000817295,0.0002,4e-05
0.011124,1.43425e-08,6.08766e-13,0.925785,0.000828048,0.0002,4e-05
0.011123,1.19232e-08,5.79946e-13,0.925199,0.000838802,0.0002,4e-05
0.011122,9.65885e-09,5.51096e-13,0.924612,0.000849556,0.0002,4e-05
0.0111218,9.41744e-09,5.45606e-13,0.924023,0.00086031,0.0002,4e-05
0.0111226,1.11826e-08,5.7648e-13,0.92343,0.000871064,0.0002,4e-05
0.0111235,1.29478e-08,6.07354e-13,0.922837,0.000881818,0.0002,4e-05
0.0111243,1.4466e-08,6.38422e-13,0.922244,0.000892572,0.0002,4e-05
0.0111241,1.36714e-08,6.90803e-13,0.921655,0.000903326,0.0002,4e-05
0.0111234,1.18966e-08,7.53292e-13,0.921067,0.000914079,0.0002,4e-05
0.0111227,1.01218e-08,8.1578e-13,0.92048,0.000924833,0.0002,4e-05
0.011122,8.8551e-09,8.77729e-13,0.919892,0.000935587,0.0002,4e-05
0.0111226,1.00896e-08,9.59757e-13,0.9193,0.000946341,0.0002,4e-05
0.0111232,1.13241e-08,1.04179e-12,0.918708,0.000957095,0.0002,4e-05
0.0111238,1.24882e-08,1.12389e-12,0.918116,0.000967849,0.0002,4e-05
0.011124,1.25755e-08,1.15995e-12,0.917525,0.000978603,0.0002,4e-05
0.0111235,1.12764e-08,1.11821e-12,0.916937,0.000989357,0.0002,4e-05
0.011123,9.97727e-09,1.07646e-12,0.916349,0.00100011,0.0002,4e-05
0.0111225,8.95025e-09,1.03515e-12,0.915761,0.00101086,0.0002,4e-05
0.0111228,9.42688e-09,9.55361e-13,0.91517,0.00102162,0.0002,4e-05
0.0111232,1.02735e-08,8.65015e-13,0.914578,0.00103237,0.0002,4e-05
0.0111237,1.10978e-08,7.74826e-13,0.913987,0.00104313,0.0002,4e-05
0.0111239,1.13724e-08,7.35079e-13,0.913396,0.00105388,0.0002,4e-05
0.0111235,1.04201e-08,8.51292e-13,0.912807,0.00106463,0.0002,4e-05
0.0111232,9.46786e-09,9.67505e-13,0.912218,0.00107539,0.0002,4e-05
0.0111228,8.70168e-09,1.08401e-12,0.91163,0.00108614,0.0002,4e-05
0.011123,8.94322e-09,1.26851e-12,0.911039,0.0010969,0.0002,4e-05
0.0111233,9.5073e-09,1.47731e-12,0.910448,0.00110765,0.0002,4e-05
0.0111236,1.00546e-08,1.68628e-12,0.909857,0.0011184,0.0002,4e-05
0.0111238,1.02067e-08,1.83845e-12,0.909267,0.00112916,0.0002,4e-05
0.0111235,9.50379e-09,1.83745e-12,0.908678,0.00113991,0.0002,4e-05
0.0111233,8.8009e-09,1.83645e-12,0.908088,0.00115066,0.0002,4e-05
0.011123,8.26086e-09,1.83436e-12,0.907499,0.00116142,0.0002,4e-05
0.0111232,8.49375e-09,1.68368e-12,0.906909,0.00117217,0.0002,4e-05
0.0111234,8.85429e-09,1.50693e-12,0.906318,0.00118293,0.0002,4e-05
0.0111236,9.20306e-09,1.32912e-12,0.905727,0.00119368,0.0002,4e-05
0.0111237,9.13533e-09,1.18027e-12,0.905137,0.00120443,0.0002,4e-05
0.0111235,8.61347e-09,1.06608e-12,0.904548,0.00121519,0.0002,4e-05
0.0111233,8.10312e-09,9.51553e-13,0.903958,0.00122594,0.0002,4e-05
0.0111232,7.80757e-09,8.33888e-13,0.903369,0.0012367,0.0002,4e-05
0.0111234,8.02649e-09,7.23707e-13,0.902778,0.00124745,0.0002,4e-05
0.0111235,8.2454e-09,6.13525e-13,0.902188,0.0012582,0.0002,4e-05
0.0111237,8.47259e-09,5.08775e-13,0.901597,0.00126896,0.0002,4e-05
0.0111236,8.1937e-09,4.60555e-13,0.901007,0.00127971,0.0002,4e-05
0.0111235,7.80389e-09,4.2434e-13,0.900418,0.00129046,0.0002,4e-05
0.0111234,7.47505e-09,3.94921e-13,0.899828,0.00130122,0.0002,4e-05
0.0111234,7.42103e-09,4.17865e-13,0.899238,0.00131197,0.0002,4e-05
0.0111235,7.54315e-09,4.77831e-13,0.898647,0.00132273,0.0002,4e-05
0.0111236,7.67606e-09,5.40934e-13,0.898057,0.00133348,0.0002,4e-05
