U:0,U:1,U:2,p,Points:0,Points:1,Points:2
0.177977,2.04617e-07,3.86184e-12,15.0894,0.000795787,0.0002,4e-05
0.17799,2.3939e-07,2.48218e-12,15.0799,0.000806541,0.0002,4e-05
0.177999,2.59829e-07,1.32154e-12,15.0704,0.000817295,0.0002,4e-05
0.177989,2.26801e-07,1.266e-12,15.061,0.000828048,0.0002,4e-05
0.177979,1.93773e-07,1.21045e-12,15.0516,0.000838802,0.0002,4e-05
0.177969,1.62057e-07,1.15409e-12,15.0422,0.000849556,0.0002,4e-05
0.177966,1.55467e-07,1.35618e-12,15.0328,0.00086031,0.0002,4e-05
0.177974,1.78232e-07,1.96403e-12,15.0233,0.000871064,0.0002,4e-05
0.177983,2.00997e-07,2.57189e-12,15.0139,0.000881818,0.0002,4e-05
0.177992,2.2248e-07,3.20314e-12,15.0044,0.000892572,0.0002,4e-05
0.17799,2.13641e-07,4.05712e-12,14.995,0.000903326,0.0002,4e-05
0.177983,1.9094e-07,5.00572e-12,14.9855,0.000914079,0.0002,4e-05
0.177976,1.68238e-07,5.95433e-12,14.9761,0.000924833,0.0002,4e-05
0.17797,1.4949e-07,6.89109e-12,14.9667,0.000935587,0.0002,4e-05
0.177976,1.63975e-07,8.05457e-12,14.9573,0.000946341,0.0002,4e-05
0.177982,1.78461e-07,9.21806e-12,14.9478,0.000957095,0.0002,4e-05
0.177987,1.9275e-07,1.03786e-11,14.9383,0.000967849,0.0002,4e-05
0.177989,1.95407e-07,1.08015e-11,14.9289,0.000978603,0.0002,4e-05
0.177985,1.797e-07,1.00032e-11,14.9194,0.000989357,0.0002,4e-05
0.17798,1.63993e-07,9.20485e-12,14.91,0.00100011,0.0002,4e-05
0.177976,1.50231e-07,8.39893e-12,14.9006,0.00101086,0.0002,4e-05
0.177978,1.54473e-07,6.89185e-12,14.8911,0.00102162,0.0002,4e-05
0.177982,1.63339e-07,5.19472e-12,14.8817,0.00103237,0.0002,4e-05
0.177986,1.72229e-07,3.49758e-12,14.8722,0.00104313,0.0002,4e-05
0.177988,1.76481e-07,2.47883e-12,14.8628,0.00105388,0.0002,4e-05
0.177985,1.65533e-07,3.60586e-12,14.8533,0.00106463,0.0002,4e-05
0.177982,1.54584e-07,4.73289e-12,14.8439,0.00107539,0.0002,4e-05
0.177979,1.44918e-07,5.84674e-12,14.8345,0.00108614,0.0002,4e-05
0.17798,1.46367e-07,8.11721e-12,14.8251,0.0010969,0.0002,4e-05
0.177983,1.51534e-07,1.0805e-11,14.8156,0.00110765,0.0002,4e-05
0.177986,1.56847e-07,1.3487e-11,14.8062,0.0011184,0.0002,4e-05
0.177987,1.59075e-07,1.5394e-11,14.7967,0.00112916,0.0002,4e-05
0.177985,1.51379e-07,1.53046e-11,14.7873,0.00113991,0.0002,4e-05
0.177983,1.43684e-07,1.52153e-11,14.7779,0.00115066,0.0002,4e-05
0.177982,1.3713e-07,1.51105e-11,14.7684,0.00116142,0.0002,4e-05
0.177983,1.38549e-07,1.35568e-11,14.759,0.00117217,0.0002,4e-05
0.177985,1.41313e-07,1.17492e-11,14.7495,0.00118293,0.0002,4e-05
0.177986,1.44519e-07,9.93291e-12,14.7401,0.00119368,0.0002,4e-05
0.177987,1.43979e-07,8.26953e-12,14.7307,0.00120443,0.0002,4e-05
