OSI,x/D
0.000414006,15.0651
0.000421401,15.0651
0.000435879,15.0651
0.000448267,15.0651
0.000457168,15.0651
0.000462941,15.0651
0.000466148,15.0651
0.000467173,15.0651
0.000466148,15.0651
0.000462941,15.0651
0.000457168,15.0651
0.000448266,15.0651
0.000435879,15.0651
0.0004214,15.0651
0.000414006,15.0651
0.000414006,15.0651
0.000421401,15.0651
0.000435879,15.0651
0.000448267,15.0651
0.000457168,15.0651
0.000462941,15.0651
0.000466148,15.0651
0.000467174,15.0651
0.000466148,15.0651
0.000462941,15.0651
0.000457168,15.0651
0.000448267,15.0651
0.000435879,15.0651
0.000421401,15.0651
0.000414006,15.0651
0.0004214,15.0651
0.000435879,15.0651
0.000448266,15.0651
0.000457167,15.0651
0.000462941,15.0651
0.000466148,15.0651
0.000467174,15.0651
0.000466148,15.0651
0.000462941,15.0651
0.000457168,15.0651
0.000448266,15.0651
0.000435879,15.0651
0.0004214,15.0651
0.0004214,15.0651
0.000435879,15.0651
0.000448266,15.0651
0.000457168,15.0651
0.000462941,15.0651
0.000466148,15.0651
0.000467173,15.0651
0.000466148,15.0651
0.000462941,15.0651
0.000457168,15.0651
0.000448266,15.0651
0.000435879,15.0651
0.0004214,15.0651
0.000414032,15.1775
0.000421427,15.1775
0.000435906,15.1775
0.000448294,15.1775
0.000457196,15.1775
0.000462969,15.1775
0.000466176,15.1775
0.000467201,15.1775
0.000466176,15.1775
0.000462969,15.1775
0.000457196,15.1775
0.000448294,15.1775
0.000435906,15.1775
0.000421427,15.1775
0.000414032,15.1775
0.000414032,15.1775
0.000421427,15.1775
0.000435906,15.1775
0.000448294,15.1775
0.000457196,15.1775
0.000462969,15.1775
0.000466176,15.1775
0.000467201,15.1775
0.000466176,15.1775
0.000462969,15.1775
0.000457196,15.1775
0.000448294,15.1775
0.000435906,15.1775
0.000421427,15.1775
0.000414032,15.1775
0.000421426,15.1775
0.000435905,15.1775
0.000448294,15.1775
0.000457195,15.1775
0.000462968,15.1775
0.000466176,15.1775
0.000467201,15.1775
0.000466176,15.1775
0.000462969,15.1775
0.000457196,15.1775
0.000448294,15.1775
0.000435906,15.1775
0.000421427,15.1775
